country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_share_elec,coal_share_energy
Iraq,2022,IRQ,44496124,,,,,,,,,,,,,,,,,,
Ireland,2022,IRL,5023108,,50.039,1.033,616.598,3.097,197.089,0.99,2.946,1.633,346.326,-13.961,-1.916,2350.33,11.806,491.727,2.47,7.349,6.224
Israel,2022,ISR,9038313,,17.445,0.094,69.913,0.632,,,,0.208,,-1.214,-0.534,4805.841,43.437,,,,14.285
Italy,2022,ITA,59037472,,-11.609,-1.605,206.942,12.217,311.328,18.38,6.591,0.716,371.692,30.055,19.591,1435.913,84.773,358.925,21.19,7.599,4.967
Japan,2022,JPN,123951696,,8.998,0.475,46.457,5.758,353.848,43.86,4.537,0.116,482.87,-0.288,-3.943,11016.588,1365.525,2567.936,318.3,32.926,27.552
Kazakhstan,2022,KAZ,19397998,,,0,0,0,0,0,0,0,635.574,2.226,8.68,20552.039,398.668,3491.597,67.73,60.055,45.976
Kenya,2022,KEN,54027484,,,,,,2.961,0.16,1.298,,100.568,,,,,0,0,0,
Kuwait,2022,KWT,4268886,,,,,,,,,,,66.399,0.5,293.47,1.253,,,,
Latvia,2022,LVA,1850654,,-25.221,-0.142,227.045,0.42,367.438,0.68,13.439,1.059,181.818,8.554,0.019,128.394,0.238,0,0,0,0.599
Libya,2022,LBY,6812344,,,,,,,,,,,,,,,,,,
Lithuania,2022,LTU,2750058,,-10.081,-0.149,481.711,1.325,236.359,0.65,15.588,2.081,194.245,3.486,0.075,812.267,2.234,0,0,0,3.509
Luxembourg,2022,LUX,647601,,-6.18,-0.098,2293.701,1.485,571.339,0.37,32.743,3.802,168.142,5.098,0.025,794.276,0.514,0,0,0,1.316
Malaysia,2022,MYS,33938216,,9.648,1.229,411.542,13.967,48.323,1.64,0.909,1.04,543.737,-0.724,-1.901,7677.032,260.545,2223.747,75.47,41.809,19.393
Malta,2022,MLT,533293,,,,,,18.751,0.01,0.5,,495,,,,,0,0,0,
Mexico,2022,MEX,127504120,,7.245,0.184,21.353,2.723,53.175,6.78,1.94,0.112,421.402,26.6,14.663,547.351,69.79,163.916,20.9,5.98,2.879
Moldova,2022,MDA,3272993,,,,,,3.055,0.01,0.186,,678.439,,,,,1099.911,3.6,66.914,
Mongolia,2022,MNG,3398373,,,,,,0,0,0,,749.656,,,,,1950.934,6.63,91.197,
Montenegro,2022,MNE,627082,,,,,,0,0,0,,399.381,,,,,2455.819,1.54,47.678,
Morocco,2022,MAR,37457976,,,,,,,,,,,-9.075,-7.752,2073.421,77.666,,,,30.246
Myanmar,2022,MMR,54179312,,,,,,,,,,,,,,,,,,
Netherlands,2022,NLD,17564020,,4.452,0.414,553.318,9.718,551.696,9.69,8.016,0.988,355.778,-0.812,-0.528,3672.28,64.5,831.245,14.6,12.077,6.558
New Zealand,2022,NZL,5185289,,-6.19,-0.004,12.063,0.063,88.713,0.46,1.043,0.027,97.732,-30.837,-5.671,2452.728,12.718,5.786,0.03,0.068,5.458
Nigeria,2022,NGA,218541216,,,,,,0.092,0.02,0.062,,368.224,,,,,2.608,0.57,1.776,
North Macedonia,2022,MKD,2093606,,0,0,0.471,0.001,23.882,0.05,0.715,0.003,529.328,17.241,1.223,3972.867,8.318,1623.992,3.4,48.641,28.633
Norway,2022,NOR,5434324,,-3.18,-0.144,804.836,4.374,40.483,0.22,0.144,0.83,28.818,-4.648,-0.455,1717.793,9.335,7.361,0.04,0.026,1.772
Oman,2022,OMN,4576300,,,,,,0,0,0,,488.272,0,0,213.655,0.978,0,0,0,
Pakistan,2022,PAK,235824864,,,,,,7.166,1.69,1.111,,344.155,-11.77,-23.63,751.105,177.129,61.274,14.45,9.496,17.703
Peru,2022,PER,34049588,,2.191,0.109,149.102,5.077,20.265,0.69,1.145,1.516,256.512,36.068,2.157,238.984,8.137,16.153,0.55,0.913,2.43
Philippines,2022,PHL,115559008,,18.934,1.099,59.718,6.901,19.557,2.26,2.005,1.179,582.047,5.942,13.071,2016.58,233.034,451.804,52.21,46.31,39.8
Poland,2022,POL,39857144,,2.331,0.283,311.539,12.417,194.695,7.76,4.328,1.036,634.579,-5.239,-27.72,12580.693,501.431,3113.62,124.1,69.214,41.844
Portugal,2022,PRT,10270857,,-18.512,-0.727,311.524,3.2,387.504,3.98,8.475,1.241,234.029,-95.398,-2.17,10.191,0.105,5.842,0.06,0.128,0.041
Qatar,2022,QAT,2695131,,,,,,7.421,0.02,0.044,,489.76,302.041,0.086,42.661,0.115,0,0,0,
Romania,2022,ROU,19659270,,-6.572,-0.305,220.723,4.339,32.555,0.64,1.137,1.203,264.121,-2.74,-1.291,2331.516,45.836,531.047,10.44,18.544,12.708
Russia,2022,RUS,144713312,,37.167,0.985,25.131,3.637,3.386,0.49,0.044,0.045,367.189,-6.759,-64.327,6131.82,887.356,1358.755,196.63,17.636,11.056
Saudi Arabia,2022,SAU,36408824,,,,,,,,,,,0,0,35.126,1.279,0,0,0,
Serbia,2022,SRB,7221365,,,,,,31.85,0.23,0.636,,569.375,,,,,3283.313,23.71,65.533,
Singapore,2022,SGP,5975689,,,,,,63.591,0.38,0.694,,488.775,-10.804,-0.583,805.652,4.814,0,0,0,
Slovakia,2022,SVK,5643455,,4.595,0.085,344.142,1.942,303.006,1.71,6.397,1.016,140.666,-10.404,-3.403,5192.275,29.302,272.882,1.54,5.761,15.322
Slovenia,2022,SVN,2119843,,-26.788,-0.319,411.491,0.872,136.803,0.29,2.185,1.197,237.378,-23.093,-2.491,3913.589,8.296,1514.263,3.21,24.19,11.38
South Africa,2022,ZAF,59893884,,0.906,0.009,16.265,0.974,6.678,0.4,0.187,0.073,708.989,-5.607,-54.662,15365.821,920.319,3043.549,182.29,85.342,68.748
South Korea,2022,KOR,51815808,,24.502,1.701,166.855,8.646,360.508,18.68,3.08,0.245,435.689,-5.332,-44.978,15411.557,798.562,3971.182,205.77,33.927,22.622
South Sudan,2022,SSD,10913172,,,,,,,,,,,,,,,,,,
Spain,2022,ESP,47558632,,-2.471,-0.392,325.491,15.48,143.402,6.82,2.395,0.968,217.373,31.289,11.18,986.387,46.911,160.223,7.62,2.675,2.934
Sri Lanka,2022,LKA,21832150,,,,,,,,,,,-9.73,-1.828,776.648,16.956,,,,
Sudan,2022,SDN,46874200,,,,,,,,,,,,,,,,,,
Sweden,2022,SWE,10549349,,13.145,2.404,1961.763,20.695,1200.074,12.66,7.374,3.274,45.084,6.153,1.178,1925.709,20.315,0.948,0.01,0.006,3.213
Switzerland,2022,CHE,8740471,,-0.62,-0.011,207.908,1.817,12.585,0.11,0.177,0.623,45.622,0,0,117.588,1.028,0,0,0,0.353
Syria,2022,SYR,22125242,,,,,,,,,,,,,,,,,,
Taiwan,2022,TWN,23893396,,4.332,0,0.02,0,82.031,1.96,0.688,0,561,-5.681,-26.458,18384.822,439.276,5112.71,122.16,42.851,33.062
Thailand,2022,THA,71697024,,-10.166,-2.368,291.832,20.923,200.427,14.37,7.528,1.488,502.305,-9.074,-19.715,2755.472,197.559,528.474,37.89,19.85,14.047
Trinidad and Tobago,2022,TTO,1531043,,,,,,,,,,,,0,0,0,,,,0
Tunisia,2022,TUN,12356116,,,,,,0,0,0,,469.428,,,,,0,0,0,
Turkey,2022,TUR,85341248,,22.393,0.279,17.847,1.523,92.57,7.9,2.423,0.078,413.628,0.523,2.522,5681.234,484.844,1301.598,111.08,34.064,24.891
Turkmenistan,2022,TKM,6430777,,,,,,,,,,,0,,,,,,,
Ukraine,2022,UKR,39701744,,-11.166,-0.07,13.93,0.553,19.143,0.76,0.679,0.085,206.539,-45.609,-120.811,3628.821,144.071,558.666,22.18,19.814,22.25
United Arab Emirates,2022,ARE,9441138,,,,,,,,,,,3.757,1.033,3022.828,28.539,0,0,0,
United Kingdom,2022,GBR,67508936,,28.762,4.603,305.221,20.605,519.339,35.06,10.791,1.014,257.379,-10.766,-7.084,869.846,58.722,77.471,5.23,1.61,2.89
United States,2022,USA,338289856,,4.335,18.026,1282.526,433.866,158.03,53.46,1.244,1.629,367.259,-6.663,-195.673,8103.174,2741.221,2450.531,828.99,19.293,10.289
Uruguay,2022,URY,3422796,,,,,,449.925,1.54,10.462,,114.81,,,,,0,0,0,
Uzbekistan,2022,UZB,34627648,,,,,,,,,,,11.111,2.868,828.209,28.679,,,,4.892
Venezuela,2022,VEN,28301700,,,,,,,,,,,-12.04,-0.057,14.699,0.416,,,,0.068
Vietnam,2022,VNM,98186856,,,,,,1.63,0.16,0.061,,376.828,-4.978,-29.824,5797.624,569.25,1013.578,99.52,37.793,44.655
Yemen,2022,YEM,33696612,,,,,,,,,,,,,,,,,,
Zimbabwe,2022,ZWE,16320539,,,,,,,,,,,,,,,,,,
